"RandDate","Treatment","KLSSuccess","cenKLSSuccess","lastCheckDate","timeToExpunge","cenExpungeTime"
"2021-11-10",1,"yes","yes","2023-01-17",433,433
"2021-09-08",1,"yes","yes","2023-01-17",496,496
"2020-06-17",1,"yes","yes","2020-09-17",92,92
"2022-03-17",0,"yes","yes","2023-01-17",306,306
"2021-05-12",0,"no","no","2024-01-31",994,730
"2020-01-02",1,"yes","yes","2020-05-25",144,144
"2019-12-02",1,"yes","yes","2020-08-06",248,248
"2020-08-17",0,"no","no","2024-03-25",1316,730
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2019-10-23",1,"yes","no","2024-07-15",1727,730
"2021-08-25",0,"no","no","2024-01-31",889,730
"2020-12-22",0,"yes","no","2024-08-01",1318,730
"2022-03-17",1,"yes","yes","2022-07-22",127,127
"2020-04-27",1,"yes","yes","2021-03-11",318,318
"2020-09-11",1,"yes","yes","2021-09-30",384,384
"2022-04-26",0,"yes","yes","2024-01-31",645,645
"2022-02-10",0,"no","no","2024-08-07",909,730
"2020-08-25",0,"no","no","2024-01-31",1254,730
"2020-10-26",0,"no","no","2024-01-31",1192,730
"2020-02-12",1,"yes","yes","2020-08-06",176,176
"2021-09-08",1,"no","no","2024-08-05",1062,730
"2021-03-24",1,"yes","yes","2021-09-30",190,190
"2021-01-21",1,"yes","yes","2021-09-30",252,252
"2020-09-11",0,"no","no","2024-01-31",1237,730
"2019-11-27",1,"yes","yes","2020-08-06",253,253
"2020-09-23",1,"yes","yes","2021-09-30",372,372
"2022-03-17",0,"yes","yes","2024-01-31",685,685
"2020-06-17",0,"yes","no","2024-07-30",1504,730
"2020-09-23",0,"yes","no","2024-01-31",1225,730
"2020-03-04",1,"yes","yes","2020-08-06",155,155
"2021-12-24",0,"no","no","2024-01-31",768,730
"2020-06-30",1,"no","no","2024-07-29",1490,730
"2020-01-22",0,"no","no","2024-01-31",1470,730
"2022-02-14",1,"yes","yes","2022-07-22",158,158
"2020-08-18",0,"yes","no","2024-01-31",1261,730
"2021-05-12",0,"no","no","2024-01-31",994,730
"2020-08-20",1,"yes","yes","2021-03-11",203,203
"2020-03-13",0,"partial","no","2024-07-30",1600,730
"2021-05-25",0,"yes","no","2024-08-01",1164,730
"2020-02-20",1,"yes","yes","2020-05-25",95,95
"2020-04-28",0,"yes","no","2024-01-31",1373,730
"2022-04-27",1,"yes","yes","2022-07-22",86,86
"2022-02-24",1,"yes","yes","2024-01-31",706,706
"2021-11-03",1,"yes","yes","2022-03-31",148,148
"2020-05-04",1,"yes","yes","2020-09-01",120,120
"2020-09-23",0,"no","no","2024-01-31",1225,730
"2020-08-17",1,"yes","yes","2021-03-11",206,206
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2021-11-03",1,"yes","yes","2022-03-31",148,148
"2019-12-17",1,"yes","yes","2021-03-11",450,450
"2021-03-16",0,"unknown","no","2024-01-31",1051,730
"2021-02-24",1,"yes","no","2024-01-31",1071,730
"2020-02-07",1,"yes","yes","2020-08-06",181,181
"2022-03-17",0,"yes","no","2024-05-11",786,730
"2021-04-27",1,"yes","yes","2021-09-30",156,156
"2019-11-19",1,"yes","yes","2020-05-25",188,188
"2020-08-20",1,"yes","yes","2021-03-11",203,203
"2020-06-26",0,"partial","no","2024-07-29",1494,730
"2021-11-03",0,"no","no","2024-01-31",819,730
"2020-08-20",0,"yes","no","2024-01-31",1259,730
"2020-06-17",0,"no","no","2024-01-31",1323,730
"2020-06-25",0,"yes","no","2024-01-31",1315,730
"2022-01-11",0,"no","no","2024-01-31",750,730
"2020-10-26",0,"yes","no","2024-01-31",1192,730
"2021-04-26",1,"yes","yes","2022-03-31",339,339
"2022-01-11",1,"no","no","2024-08-06",938,730
"2021-01-19",1,"yes","yes","2021-09-30",254,254
"2020-07-15",0,"no","no","2024-01-31",1295,730
"2021-05-25",0,"yes","no","2024-08-02",1165,730
"2020-10-26",1,"yes","yes","2022-03-31",521,521
"2021-02-11",0,"yes","no","2024-01-31",1084,730
"2021-02-22",0,"yes","no","2024-01-31",1073,730
"2021-01-19",0,"no","no","2024-01-31",1107,730
"2020-06-25",1,"yes","yes","2021-09-30",462,462
"2020-02-03",0,"partial","no","2024-01-31",1458,730
"2020-05-04",0,"yes","no","2024-07-30",1548,730
"2020-03-06",1,"yes","yes","2021-09-30",573,573
"2022-06-22",0,"no","no","2024-01-31",588,588
"2021-06-09",0,"yes","no","2024-08-02",1150,730
"2021-11-30",1,"yes","yes","2022-07-22",234,234
"2020-12-14",1,"no","no","2024-07-30",1324,730
"2022-06-22",1,"yes","yes","2023-03-25",276,276
"2021-03-24",1,"yes","yes","2021-09-30",190,190
"2020-11-05",1,"yes","yes","2021-09-30",329,329
"2021-04-26",1,"yes","yes","2021-09-30",157,157
"2020-09-11",1,"yes","yes","2021-09-30",384,384
"2021-09-23",0,"yes","no","2024-01-31",860,730
"2020-03-06",1,"yes","yes","2020-11-01",240,240
"2020-12-29",0,"yes","no","2024-01-31",1128,730
"2022-04-29",0,"no","no","2024-01-31",642,642
"2022-04-19",0,"partial","no","2024-01-31",652,652
"2020-01-09",0,"yes","no","2024-08-12",1677,730
"2020-12-16",0,"no","no","2024-01-31",1141,730
"2020-04-28",1,"no","no","2024-07-30",1554,730
"2022-01-31",1,"yes","yes","2023-01-17",351,351
"2020-12-10",0,"yes","no","2024-01-31",1147,730
"2022-04-26",1,"yes","yes","2023-03-25",333,333
"2020-10-19",1,"yes","yes","2021-09-30",346,346
"2020-01-03",0,"no","no","2024-01-31",1489,730
"2021-04-26",1,"yes","yes","2022-03-31",339,339
"2020-04-26",0,"yes","yes","2020-11-13",201,201
"2021-01-14",1,"yes","yes","2021-09-30",259,259
"2021-08-27",1,"yes","yes","2022-03-31",216,216
"2021-06-09",0,"yes","no","2024-01-31",966,730
"2020-12-10",0,"yes","no","2024-08-01",1330,730
"2021-03-16",0,"yes","no","2024-07-30",1232,730
"2020-07-01",1,"yes","yes","2022-03-31",638,638
"2021-01-13",0,"no","no","2024-01-31",1113,730
"2022-04-19",0,"partial","no","2024-01-31",652,652
"2020-11-25",1,"yes","yes","2021-09-30",309,309
"2020-11-24",1,"yes","yes","2021-03-11",107,107
"2019-11-21",1,"yes","no","2024-07-29",1712,730
"2022-02-24",1,"yes","yes","2022-07-22",148,148
"2019-12-16",1,"yes","no","2024-07-29",1687,730
"2020-11-24",1,"yes","yes","2021-09-30",310,310
"2021-08-24",1,"yes","yes","2022-03-31",219,219
"2021-05-25",0,"partial","no","2024-01-31",981,730
"2021-03-17",1,"yes","yes","2021-09-30",197,197
"2021-11-17",1,"yes","yes","2022-07-22",247,247
"2021-02-24",1,"yes","yes","2021-09-30",218,218
"2021-08-05",0,"yes","no","2024-01-31",909,730
"2022-03-18",0,"no","no","2024-08-06",872,730
"2021-09-07",0,"no","no","2024-01-31",876,730
"2020-09-23",1,"yes","yes","2021-03-11",169,169
"2020-07-16",1,"no","no","2024-07-29",1474,730
"2020-12-23",0,"no","no","2024-01-31",1134,730
"2022-06-22",1,"no","no","2024-08-07",777,730
"2020-04-23",0,"yes","no","2024-07-30",1559,730
"2021-11-30",1,"yes","yes","2022-03-31",121,121
"2021-03-16",1,"yes","yes","2021-09-30",198,198
"2021-11-03",0,"no","no","2024-01-31",819,730
"2020-08-17",1,"yes","yes","2020-11-13",88,88
"2020-11-18",0,"yes","no","2024-01-31",1169,730
"2019-11-14",0,"yes","no","2024-01-31",1539,730
"2021-11-01",1,"yes","yes","2022-07-22",263,263
"2020-06-30",0,"yes","no","2024-01-31",1310,730
"2020-09-23",0,"no","no","2024-01-31",1225,730
"2021-10-05",0,"no","no","2024-01-31",848,730
"2021-08-27",1,"yes","yes","2022-03-31",216,216
"2021-01-21",0,"partial","no","2024-08-01",1288,730
"2020-05-08",0,"yes","no","2024-07-30",1544,730
"2021-02-24",1,"yes","no","2023-03-25",759,730
"2021-11-03",0,"yes","no","2024-08-05",1006,730
"2021-11-02",1,"yes","yes","2022-03-31",149,149
"2021-02-22",0,"yes","yes","2022-07-22",515,515
"2020-04-26",1,"no","no","2024-07-29",1555,730
"2022-01-24",1,"no","no","2024-08-06",925,730
"2020-08-17",1,"yes","yes","2021-03-11",206,206
"2021-09-21",0,"yes","no","2024-01-31",862,730
"2020-05-14",1,"yes","yes","2021-03-31",321,321
"2021-02-24",0,"no","no","2024-01-31",1071,730
"2020-03-28",0,"no","no","2024-01-31",1404,730
"2020-10-19",0,"no","no","2024-01-31",1199,730
"2021-04-27",1,"yes","yes","2021-09-30",156,156
"2020-07-27",1,"yes","yes","2021-03-11",227,227
"2021-05-12",1,"yes","yes","2022-07-22",436,436
"2021-12-31",0,"yes","no","2024-08-06",949,730
"2020-12-29",1,"partial","no","2022-03-31",457,457
"2022-06-22",0,"no","no","2024-08-07",777,730
"2022-02-24",1,"yes","yes","2024-01-31",706,706
"2020-02-21",0,"no","no","2020-09-01",193,193
"2021-01-11",1,"yes","no","2023-01-17",736,730
"2020-10-26",1,"partial","no","2022-03-31",521,521
"2020-11-24",0,"yes","no","2024-01-31",1163,730
"2020-08-31",0,"no","no","2024-08-01",1431,730
"2021-05-12",0,"yes","no","2024-01-31",994,730
"2020-08-20",0,"yes","no","2024-01-31",1259,730
"2020-08-31",1,"yes","yes","2021-03-11",192,192
"2021-05-12",1,"yes","yes","2022-03-31",323,323
"2021-02-24",1,"yes","yes","2021-09-30",218,218
"2021-08-05",0,"yes","no","2024-08-01",1092,730
"2021-08-27",1,"yes","yes","2023-01-17",508,508
"2021-06-09",0,"yes","no","2024-01-31",966,730
"2021-03-16",0,"yes","no","2024-08-02",1235,730
"2020-07-27",1,"yes","yes","2021-09-30",430,430
"2021-01-06",1,"yes","yes","2021-09-30",267,267
"2020-11-05",1,"yes","yes","2021-09-30",329,329
"2022-01-11",0,"no","no","2024-08-06",938,730
"2019-11-20",0,"no","no","2024-01-31",1533,730
"2019-12-18",0,"yes","yes","2020-09-17",274,274
"2020-09-23",1,"yes","yes","2021-03-11",169,169
"2020-07-06",0,"yes","no","2024-01-31",1304,730
"2021-11-17",1,"no","no","2024-08-05",992,730
"2022-01-28",0,"yes","no","2024-01-31",733,730
"2021-08-27",1,"yes","yes","2023-01-17",508,508
"2022-03-18",1,"yes","yes","2022-07-22",126,126
"2021-08-04",0,"no","no","2024-01-31",910,730
"2021-10-05",0,"yes","no","2024-01-31",848,730
"2022-02-24",0,"no","no","2024-01-31",706,706
"2021-08-24",1,"yes","yes","2022-03-31",219,219
"2022-06-23",1,"yes","yes","2023-03-25",275,275
"2021-02-24",0,"no","no","2024-01-31",1071,730
"2022-01-31",1,"yes","yes","2022-07-22",172,172
"2021-10-05",0,"no","no","2024-01-31",848,730
"2019-10-02",1,"no","no","2024-07-15",1748,730
"2021-10-13",0,"no","no","2024-01-31",840,730
"2021-02-24",1,"yes","yes","2021-09-30",218,218
"2022-04-26",1,"yes","yes","2023-01-17",266,266
"2021-08-05",0,"unknown","no","2024-08-01",1092,730
"2021-05-25",1,"yes","yes","2021-09-30",128,128
"2020-03-27",0,"no","no","2024-01-31",1405,730
"2021-03-24",0,"no","no","2024-01-31",1043,730
"2021-12-23",0,"no","no","2024-01-31",769,730
"2021-02-22",0,"yes","no","2024-01-31",1073,730
"2021-08-25",1,"yes","yes","2022-03-31",218,218
"2019-12-18",1,"yes","yes","2020-03-16",89,89
"2021-12-29",0,"yes","yes","2022-07-22",205,205
"2021-04-20",1,"yes","yes","2021-09-30",163,163
"2021-07-30",1,"yes","yes","2022-03-31",244,244
"2021-01-19",0,"yes","no","2024-01-31",1107,730
"2020-05-08",1,"yes","no","2023-03-25",1051,730
"2022-04-19",1,"yes","yes","2023-01-17",273,273
"2021-08-05",1,"yes","yes","2021-09-30",56,56
"2020-07-27",0,"yes","no","2024-08-01",1466,730
"2021-09-28",1,"yes","yes","2022-03-31",184,184
"2022-04-26",0,"no","no","2024-08-07",834,730
"2020-07-15",0,"yes","no","2024-01-31",1295,730
"2020-10-07",0,"yes","no","2024-01-31",1211,730
"2020-11-02",1,"yes","yes","2021-03-11",129,129
"2020-07-06",1,"yes","yes","2021-03-11",248,248
"2021-08-24",0,"yes","no","2024-01-31",890,730
"2022-04-26",0,"no","no","2024-01-31",645,645
"2019-09-27",0,"yes","no","2024-07-15",1753,730
"2020-09-11",1,"yes","yes","2021-03-11",181,181
"2020-01-14",1,"yes","yes","2020-09-01",231,231
"2020-11-06",1,"yes","yes","2021-03-11",125,125
"2022-01-28",1,"yes","yes","2022-07-22",175,175
"2020-06-30",1,"yes","yes","2021-03-11",254,254
"2021-02-24",0,"no","no","2024-01-31",1071,730
"2020-07-13",0,"no","no","2024-07-29",1477,730
"2020-05-22",0,"yes","no","2024-01-31",1349,730
"2020-04-26",0,"no","no","2024-01-31",1375,730
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2020-07-13",1,"yes","yes","2021-03-11",241,241
"2020-08-25",0,"no","no","2024-01-31",1254,730
"2022-01-21",0,"yes","yes","2022-07-22",182,182
"2021-10-06",1,"yes","yes","2022-03-31",176,176
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2021-10-05",1,"no","no","2024-08-05",1035,730
"2020-01-22",1,"yes","yes","2020-09-01",223,223
"2020-03-27",1,"yes","yes","2021-09-30",552,552
"2022-01-24",0,"yes","no","2024-01-31",737,730
"2020-07-13",1,"yes","yes","2021-03-11",241,241
"2022-03-21",1,"no","no","2024-08-07",870,730
"2019-11-21",1,"yes","yes","2020-03-16",116,116
"2020-01-02",0,"yes","no","2024-01-31",1490,730
"2020-11-25",0,"no","no","2024-07-30",1343,730
"2019-10-21",1,"yes","yes","2020-08-06",290,290
"2022-04-26",0,"no","no","2024-01-31",645,645
"2021-03-16",1,"yes","yes","2021-09-30",198,198
"2020-11-12",1,"yes","yes","2021-09-30",322,322
"2021-10-05",1,"yes","yes","2022-03-31",177,177
"2022-06-22",0,"yes","yes","2023-12-01",527,527
"2021-04-26",0,"partial","no","2024-08-01",1193,730
"2022-01-31",1,"yes","yes","2022-07-22",172,172
"2021-08-27",0,"yes","no","2024-08-05",1074,730
"2020-07-15",0,"yes","no","2024-01-31",1295,730
"2020-12-22",1,"yes","no","2024-01-31",1135,730
"2020-02-03",0,"yes","no","2024-01-31",1458,730
"2021-07-26",0,"yes","yes","2023-03-25",607,607
"2020-07-10",1,"yes","no","2024-11-13",1587,730
"2021-11-30",0,"no","no","2024-01-31",792,730
"2020-08-17",0,"yes","no","2024-08-01",1445,730
"2022-01-11",1,"no","no","2024-08-07",939,730
"2021-02-24",0,"unknown","no","2024-01-31",1071,730
"2021-03-24",1,"yes","yes","2021-09-30",190,190
"2021-11-30",0,"yes","no","2024-01-31",792,730
"2021-08-05",1,"yes","yes","2022-03-31",238,238
"2022-06-22",0,"no","no","2024-05-22",700,700
"2021-11-30",1,"yes","yes","2022-03-31",121,121
"2022-03-17",1,"yes","yes","2022-07-22",127,127
"2021-07-26",1,"yes","yes","2022-03-31",248,248
"2020-12-30",1,"yes","yes","2021-09-30",274,274
"2021-05-12",0,"unknown","no","2024-01-31",994,730
"2020-11-02",0,"no","no","2024-01-31",1185,730
"2020-12-14",1,"yes","yes","2021-09-30",290,290
"2019-11-15",0,"yes","yes","2020-08-06",265,265
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2022-01-28",1,"yes","no","2024-03-25",787,730
"2020-08-20",0,"unknown","no","2024-01-31",1259,730
"2021-08-05",0,"no","no","2024-01-31",909,730
"2022-06-22",1,"yes","yes","2023-01-17",209,209
"2020-10-20",0,"yes","no","2024-01-31",1198,730
"2019-11-15",0,"yes","no","2024-07-31",1720,730
"2020-01-24",1,"yes","yes","2021-03-11",412,412
"2021-02-22",1,"yes","yes","2021-09-30",220,220
"2021-02-22",0,"no","no","2024-01-31",1073,730
"2022-01-26",0,"yes","no","2024-01-31",735,730
"2021-08-05",0,"no","no","2024-01-31",909,730
"2021-10-21",0,"yes","no","2024-01-31",832,730
"2022-06-02",0,"no","no","2024-01-31",608,608
"2021-02-18",1,"yes","yes","2021-09-30",224,224
"2020-08-20",0,"no","no","2024-01-31",1259,730
"2020-09-23",0,"partial","no","2024-01-31",1225,730
"2022-06-22",0,"no","no","2024-08-07",777,730
"2019-08-30",1,"yes","yes","2020-03-16",199,199
"2020-03-04",1,"yes","yes","2020-10-31",241,241
"2021-02-22",1,"yes","yes","2022-03-31",402,402
"2021-12-30",1,"no","no","2024-08-06",950,730
"2020-05-13",0,"no","no","2024-01-31",1358,730
"2020-11-19",1,"yes","yes","2022-03-31",497,497
"2020-11-24",0,"no","no","2024-08-01",1346,730
"2021-08-05",0,"no","no","2024-01-31",909,730
"2021-12-24",0,"no","no","2024-01-31",768,730
"2022-06-23",1,"yes","yes","2024-01-31",587,587
"2022-06-22",0,"yes","no","2024-08-07",777,730
"2019-12-12",0,"yes","yes","2021-03-11",455,455
"2021-08-25",1,"yes","yes","2022-03-31",218,218
"2021-12-09",0,"no","no","2024-01-31",783,730
"2020-01-27",0,"yes","yes","2020-03-16",49,49
"2020-07-16",0,"no","no","2024-01-31",1294,730
"2021-12-31",0,"no","no","2024-01-31",761,730
"2021-03-26",0,"yes","no","2024-01-31",1041,730
"2020-07-27",1,"yes","yes","2021-09-30",430,430
"2022-04-27",1,"yes","yes","2023-03-25",332,332
"2020-08-26",0,"yes","no","2024-01-31",1253,730
"2022-03-18",0,"yes","yes","2024-01-31",684,684
"2022-06-22",1,"no","no","2024-08-07",777,730
"2020-07-27",0,"no","no","2024-07-30",1464,730
"2020-12-03",1,"yes","yes","2021-09-30",301,301
"2021-01-19",0,"yes","no","2024-01-31",1107,730
"2020-02-05",0,"yes","no","2024-01-31",1456,730
"2020-06-30",0,"no","no","2024-01-31",1310,730
"2019-09-04",0,"yes","yes","2020-05-25",264,264
"2022-04-29",1,"yes","yes","2023-01-17",263,263
"2021-03-24",1,"yes","yes","2021-09-30",190,190
"2020-07-13",1,"yes","yes","2021-03-11",241,241
"2022-04-19",1,"yes","yes","2022-07-22",94,94
"2019-09-24",0,"yes","no","2024-01-31",1590,730
"2022-06-22",0,"unknown","no","2024-08-07",777,730
"2020-08-28",0,"no","no","2024-01-31",1251,730
"2022-01-19",1,"yes","yes","2022-03-31",71,71
"2019-09-27",1,"yes","yes","2020-03-16",171,171
"2020-06-26",1,"yes","yes","2021-03-11",258,258
"2020-09-11",1,"yes","yes","2021-09-30",384,384
"2020-06-30",1,"yes","yes","2021-03-11",254,254
"2021-02-24",1,"yes","yes","2021-09-30",218,218
"2022-05-23",1,"yes","yes","2023-03-25",306,306
"2021-10-21",1,"yes","yes","2022-03-31",161,161
"2019-09-24",1,"yes","yes","2020-08-06",317,317
"2022-06-22",1,"yes","yes","2023-12-01",527,527
"2019-10-02",0,"yes","no","2024-01-31",1582,730
"2022-06-22",0,"yes","no","2024-08-07",777,730
"2022-04-29",0,"no","no","2024-01-31",642,642
"2022-01-31",0,"no","no","2024-01-31",730,730
"2021-11-10",1,"yes","no","2024-01-31",812,730
"2021-10-05",0,"partial","no","2024-08-05",1035,730
"2020-08-17",1,"no","no","2024-07-29",1442,730
